voyage_id,bunker_cost_usd,port_costs_usd,canal_costs_usd,other_costs_usd
135,383372.18,92737.42,0.0,43987.94
136,242547.03,146323.82,0.0,30566.93
137,351334.51,91804.51,438321.4,19625.83
138,270857.35,133687.13,0.0,27497.6
139,387102.25,85108.11,0.0,16797.39
140,428675.51,89153.63,0.0,26116.21
141,303831.71,146176.94,422832.77,27544.04
142,364144.99,86303.44,0.0,26797.27
143,445240.69,100002.39,251635.48,18224.91
144,384378.57,100202.12,0.0,26590.46
145,441253.09,105592.45,0.0,19328.02
146,367109.92,90425.85,0.0,41793.95
147,351950.95,115679.99,0.0,29695.4
148,368651.89,124048.23,0.0,32907.29
149,258255.33,127650.88,0.0,15947.12
150,351236.54,122803.46,344321.09,40451.31
151,373639.59,146967.98,0.0,28789.91
152,441293.86,95740.69,0.0,44187.32
153,358651.34,88531.19,0.0,35298.67
154,406121.25,125918.04,0.0,37420.15
155,378581.0,126888.38,356208.3,34138.34
156,476686.61,91055.88,380578.56,41419.42
157,370798.83,96255.41,0.0,37160.6
158,426887.74,144822.78,425348.63,15278.02
159,451322.08,103147.89,0.0,36933.58
160,295150.22,124710.81,0.0,27164.71
161,391978.17,80478.11,0.0,26507.23
162,401490.06,112577.65,0.0,19791.5
163,321381.83,111848.51,0.0,44665.14
164,463336.13,116972.12,0.0,25853.55
165,462322.1,127620.67,393383.59,29664.84
166,346109.18,136484.07,0.0,36698.4
167,351353.6,145420.8,0.0,17070.57
168,458748.47,106212.26,428266.72,28456.11
169,337465.33,148510.71,0.0,40044.65
170,458308.75,99295.48,0.0,43122.31
171,449894.98,127041.65,424442.48,22342.02
172,437289.01,131206.22,0.0,24567.11
173,384964.24,143810.44,375198.63,27816.02
174,424981.04,92871.53,357585.65,22229.05
175,326772.99,97000.1,0.0,21100.1
176,279943.44,85094.9,0.0,39139.52
177,458501.25,88212.13,449914.4,29367.63
178,382711.02,105148.17,0.0,22846.85
179,303171.59,140485.94,0.0,37237.57
180,498562.11,97201.1,0.0,31519.28
181,421192.54,118258.24,0.0,20521.43
182,226796.79,90572.08,0.0,21561.59
183,309659.14,117059.24,0.0,23242.22
184,451579.23,123384.66,300483.64,25633.23
185,432606.24,139350.7,380747.14,40746.57
186,367564.45,114990.09,336781.93,38531.29
187,317287.16,99626.11,0.0,31290.92
188,375464.99,100949.38,362791.64,32000.88
189,432126.86,148202.63,0.0,16610.89
190,336325.43,104906.78,438228.57,27955.44
191,306056.0,107273.54,322140.05,17745.61
192,385663.6,108563.09,0.0,15787.86
193,424102.36,119167.56,0.0,44781.91
194,340160.55,91704.52,0.0,23278.86
195,299443.53,87488.07,0.0,24139.74
196,476133.81,89528.71,0.0,24619.95
197,228101.31,100824.73,0.0,26788.05
198,220964.84,99884.28,0.0,39938.45
199,245438.76,63698.26,0.0,44721.02
200,312714.16,86845.3,0.0,34145.41
201,278457.08,79980.89,0.0,37580.48
202,150509.21,71051.59,0.0,26223.59
203,169285.55,107033.81,0.0,19250.26
204,225625.14,63358.72,0.0,16340.49
205,243538.76,68006.79,0.0,31795.47
206,317537.05,104154.87,0.0,28487.25
207,164950.27,99975.12,0.0,31106.67
208,212833.18,79431.96,0.0,26776.32
209,213394.78,65893.08,0.0,24161.4
210,253737.93,105958.05,0.0,42920.85
211,180717.79,77951.96,0.0,15287.5
212,268779.55,64133.53,0.0,15925.82
213,186491.24,98295.98,0.0,31491.79
214,175778.39,70927.1,0.0,27754.64
215,222050.53,71847.3,0.0,39321.08
216,197468.5,74054.25,0.0,31163.06
217,179389.47,97504.71,0.0,27347.89
218,162703.65,67108.58,0.0,33972.06
219,206194.43,84402.22,0.0,32458.67
220,338981.72,84735.75,0.0,24685.95
221,201559.18,99194.49,0.0,28787.45
222,184149.24,103721.17,0.0,41297.85
223,210878.06,75275.46,0.0,35983.24
224,151166.66,82253.34,0.0,15241.88
225,176668.93,78378.08,0.0,23977.66
226,141635.55,97413.44,0.0,42596.82
227,138870.22,66991.51,0.0,23309.03
228,162639.07,92308.49,0.0,38514.05
229,238950.6,106696.22,0.0,18959.49
230,179504.76,63023.44,0.0,38678.7
231,227746.77,75495.34,0.0,30339.14
232,197558.97,64310.64,0.0,28034.51
233,147140.62,107650.81,0.0,30690.16
234,181758.45,63193.6,0.0,36369.7
235,241618.72,98666.45,0.0,41828.05
236,113305.97,108017.11,0.0,16060.91
237,178029.68,93666.29,0.0,16580.16
238,204247.31,60398.46,0.0,21020.13
239,251386.63,87327.96,0.0,38879.21
240,224275.26,60073.1,0.0,34719.12
241,260318.64,64651.33,0.0,42638.23
242,207483.05,88391.04,0.0,28049.49
243,206031.66,71680.56,0.0,43306.64
244,162299.17,108231.74,0.0,21229.09
245,194175.21,62016.49,0.0,40077.74
246,191766.09,68693.39,0.0,43562.9
247,140193.5,99048.0,0.0,21668.64
248,226441.62,63223.6,0.0,42074.88
249,184919.88,96221.54,0.0,29883.79
250,242207.6,61732.47,0.0,33575.3
251,205174.66,69972.89,0.0,41539.58
252,190181.89,79419.06,0.0,20394.48
253,177077.9,109980.29,0.0,44219.4
254,139270.42,89625.98,0.0,39186.31
255,183032.97,68777.84,0.0,16138.91
256,149808.58,68872.99,0.0,39072.73
257,142415.45,107096.16,0.0,26867.87
258,260538.26,92459.01,0.0,20226.08
259,182927.5,60089.9,0.0,36060.25
260,128438.6,97267.17,0.0,22139.88
261,198508.3,72832.9,0.0,18241.04
262,244528.04,78767.38,0.0,39864.21
263,174232.83,68505.26,0.0,26263.74
264,219621.25,67855.19,0.0,18037.73
265,275363.56,84547.41,0.0,16635.15
266,165010.43,64096.8,0.0,40313.07
267,311633.21,78470.08,0.0,28373.26
268,256076.97,64285.37,0.0,25313.74
269,257958.52,106818.07,0.0,32181.43
270,192782.51,91013.66,0.0,18608.46
271,175348.31,109863.46,0.0,33816.79
272,151181.29,105858.1,0.0,15370.91
273,233994.25,88134.19,0.0,18029.71
274,195596.7,73770.71,0.0,19315.58
275,193942.36,100869.3,0.0,24091.65
276,154320.56,80838.64,0.0,34366.64
277,245651.15,63280.85,0.0,36287.08
278,123033.56,78018.75,0.0,20973.29
279,252599.71,103524.04,0.0,32606.41
280,211267.09,70715.93,0.0,21640.53
281,160711.84,105575.77,0.0,34421.15
282,255735.79,70910.45,0.0,24064.35
283,286883.2,89688.63,0.0,23480.31
284,224366.27,92573.32,0.0,20650.8
285,219768.81,74780.23,0.0,42207.35
286,232171.6,83786.76,0.0,43220.04
287,207114.18,87951.58,0.0,42378.74
288,161274.41,89278.53,0.0,28912.82
289,219113.57,74917.79,0.0,16621.86
290,194576.21,95783.42,0.0,38368.24
291,206102.31,67921.76,0.0,38556.33
292,167229.65,69226.36,0.0,43502.06
293,76641.51,55342.02,0.0,32660.12
294,109514.94,67471.21,0.0,19013.68
295,92869.99,40876.53,0.0,30139.01
296,143744.65,66478.8,0.0,34607.03
297,137795.28,48219.8,0.0,35572.2
298,113021.32,64707.92,0.0,23481.2
299,103290.8,41576.23,0.0,29890.64
300,161608.23,66760.88,0.0,19474.33
301,88713.98,43992.36,0.0,20241.05
302,108522.31,45535.78,0.0,34415.96
303,95416.99,55428.62,0.0,40520.15
304,94225.08,63630.01,0.0,39067.94
305,187327.01,45226.21,0.0,42611.94
306,106042.35,69744.95,0.0,36713.21
307,167813.77,65656.18,0.0,19459.63
308,68470.55,59665.92,0.0,22226.75
309,151268.11,57923.94,0.0,40697.68
310,108009.16,43635.82,0.0,33126.1
311,153593.14,53278.91,0.0,38022.49
312,147505.5,73195.36,0.0,43933.01
313,164550.65,56368.43,0.0,22628.68
314,107496.05,56578.81,0.0,42798.8
315,211342.2,73552.64,0.0,29487.96
316,135221.95,55386.51,0.0,44385.02
317,153900.81,69937.07,0.0,23967.39
318,168861.14,66894.95,0.0,44440.06
319,162607.42,66969.74,0.0,41815.98
320,92395.9,70007.4,0.0,19828.06
321,126631.18,44099.2,0.0,41041.06
322,164709.98,66579.74,0.0,42794.54
323,178288.96,76459.46,0.0,36138.87
324,118096.74,46951.81,0.0,30415.41
325,125850.39,68387.57,0.0,19644.17
326,125281.42,52714.36,0.0,21598.86
327,126608.29,48534.15,0.0,24956.51
328,126883.32,53840.29,0.0,22210.44
329,127556.46,60674.71,0.0,38114.83
330,131187.76,43838.26,0.0,44148.86
331,120902.76,69655.0,0.0,28057.13
332,110930.48,71768.59,0.0,31742.53
333,127098.35,40235.96,0.0,36608.57
334,103560.78,43460.21,0.0,37958.23
335,117464.36,73978.7,0.0,23849.35
336,126316.88,63866.2,0.0,31114.56
337,110208.67,48831.52,0.0,40042.45
338,75535.29,69023.57,0.0,29615.71
339,111863.76,53133.84,0.0,34782.67
340,162731.95,65633.54,0.0,23300.4
341,160755.33,47030.81,0.0,33198.83
342,142107.83,72505.7,0.0,32367.02
343,155793.93,51639.97,0.0,28941.03
344,152997.21,70288.24,0.0,19211.12
345,111394.5,54777.41,0.0,16284.25
346,132472.05,68149.45,0.0,30641.19
347,182588.28,43113.5,0.0,22547.59
348,142604.71,45558.73,0.0,19968.17
349,169017.3,66444.39,0.0,27438.41
350,109212.09,41725.77,0.0,32204.6
351,181198.13,56218.25,0.0,44077.31
352,130234.01,73214.54,0.0,33025.16
353,186950.4,42753.72,0.0,26346.34
354,109192.18,75110.11,0.0,30942.9
355,129486.85,57158.25,0.0,43152.65
356,109596.8,75070.65,0.0,27259.4
357,134605.78,56353.8,0.0,18197.5
358,170532.52,55898.17,0.0,21110.81
359,123727.26,70967.78,0.0,26943.89
360,117635.86,64561.01,0.0,35536.93
361,86691.38,48870.81,0.0,17401.19
362,158417.48,57558.88,0.0,21051.22
363,95580.69,79025.84,0.0,17605.28
364,117911.18,43606.63,0.0,23534.81
365,139044.96,50444.3,0.0,27214.04
366,163938.44,72525.89,0.0,32246.82
367,191170.57,74480.93,0.0,29459.1
368,102495.88,73287.08,0.0,22447.73
369,139769.67,62948.5,0.0,20483.53
370,161591.61,73453.39,0.0,25680.82
371,141516.04,59693.62,0.0,44560.84
372,141264.24,61630.72,0.0,30074.26
373,152423.87,55177.12,0.0,18022.43
374,106466.59,59950.8,0.0,21315.97
375,120342.6,43994.79,0.0,23098.47
376,168340.1,47064.29,0.0,29987.93
377,151099.32,67621.73,0.0,16801.09
378,149524.07,50308.59,0.0,15595.06
379,158160.43,57877.2,0.0,17352.23
380,153840.64,42853.76,0.0,19859.98
381,141829.68,77550.79,0.0,37436.86
382,141140.99,68027.88,0.0,17401.94
383,90863.38,79840.55,0.0,18117.85
384,140343.17,61069.69,0.0,20118.24
