rate_id,route,date,rate_usd_per_ton_or_day,vessel_type
157,Port Hedland-Qingdao,2025-07-07,7.15,Capesize
158,Port Hedland-Qingdao,2025-07-14,6.85,Capesize
159,Port Hedland-Qingdao,2025-07-21,7.13,Capesize
160,Port Hedland-Qingdao,2025-07-28,6.69,Capesize
161,Port Hedland-Qingdao,2025-08-04,6.24,Capesize
162,Port Hedland-Qingdao,2025-08-11,6.02,Capesize
163,Port Hedland-Qingdao,2025-08-18,6.35,Capesize
164,Port Hedland-Qingdao,2025-08-25,6.03,Capesize
165,Port Hedland-Qingdao,2025-09-01,6.5,Capesize
166,Port Hedland-Qingdao,2025-09-08,7.1,Capesize
167,Port Hedland-Qingdao,2025-09-15,7.18,Capesize
168,Port Hedland-Qingdao,2025-09-22,6.56,Capesize
169,Port Hedland-Qingdao,2025-09-29,6.06,Capesize
170,Port Hedland-Qingdao,2025-10-06,5.77,Capesize
171,Port Hedland-Qingdao,2025-10-13,5.43,Capesize
172,Port Hedland-Qingdao,2025-10-20,5.24,Capesize
173,Port Hedland-Qingdao,2025-10-27,4.52,Capesize
174,Port Hedland-Qingdao,2025-11-03,4.72,Capesize
175,Port Hedland-Qingdao,2025-11-10,4.54,Capesize
176,Port Hedland-Qingdao,2025-11-17,4.2,Capesize
177,Port Hedland-Qingdao,2025-11-24,4.2,Capesize
178,Port Hedland-Qingdao,2025-12-01,4.71,Capesize
179,Port Hedland-Qingdao,2025-12-08,5.11,Capesize
180,Port Hedland-Qingdao,2025-12-15,4.74,Capesize
181,Port Hedland-Qingdao,2025-12-22,5.05,Capesize
182,Port Hedland-Qingdao,2025-12-29,5.28,Capesize
183,Port Hedland-Qingdao,2026-01-05,5.34,Capesize
184,Port Hedland-Qingdao,2026-01-12,5.18,Capesize
185,Port Hedland-Qingdao,2026-01-19,5.21,Capesize
186,Port Hedland-Qingdao,2026-01-26,5.21,Capesize
187,Port Hedland-Qingdao,2026-02-02,5.28,Capesize
188,Port Hedland-Qingdao,2026-02-09,5.44,Capesize
189,Port Hedland-Qingdao,2026-02-16,5.19,Capesize
190,Port Hedland-Qingdao,2026-02-23,5.39,Capesize
191,Port Hedland-Qingdao,2026-03-02,4.83,Capesize
192,Port Hedland-Qingdao,2026-03-09,4.86,Capesize
193,Port Hedland-Qingdao,2026-03-16,4.24,Capesize
194,Port Hedland-Qingdao,2026-03-23,4.72,Capesize
195,Port Hedland-Qingdao,2026-03-30,4.2,Capesize
196,Port Hedland-Qingdao,2026-04-06,4.74,Capesize
197,Port Hedland-Qingdao,2026-04-13,4.31,Capesize
198,Port Hedland-Qingdao,2026-04-20,4.29,Capesize
199,Port Hedland-Qingdao,2026-04-27,4.2,Capesize
200,Port Hedland-Qingdao,2026-05-04,4.3,Capesize
201,Port Hedland-Qingdao,2026-05-11,4.79,Capesize
202,Port Hedland-Qingdao,2026-05-18,5.01,Capesize
203,Port Hedland-Qingdao,2026-05-25,5.05,Capesize
204,Port Hedland-Qingdao,2026-06-01,5.34,Capesize
205,Port Hedland-Qingdao,2026-06-08,4.99,Capesize
206,Port Hedland-Qingdao,2026-06-15,4.8,Capesize
207,Port Hedland-Qingdao,2026-06-22,4.95,Capesize
208,Port Hedland-Qingdao,2026-06-29,4.33,Capesize
209,Port Hedland-Qingdao,2026-07-06,4.95,Capesize
210,Port Hedland-Qingdao,2026-07-13,4.53,Capesize
211,Newcastle-Visakhapatnam,2024-07-15,13.98,Capesize
212,Newcastle-Visakhapatnam,2024-07-22,14.85,Capesize
213,Newcastle-Visakhapatnam,2024-07-29,13.91,Capesize
214,Newcastle-Visakhapatnam,2024-08-05,14.59,Capesize
215,Newcastle-Visakhapatnam,2024-08-12,13.6,Capesize
216,Newcastle-Visakhapatnam,2024-08-19,13.73,Capesize
217,Newcastle-Visakhapatnam,2024-08-26,14.71,Capesize
218,Newcastle-Visakhapatnam,2024-09-02,14.53,Capesize
219,Newcastle-Visakhapatnam,2024-09-09,14.23,Capesize
220,Newcastle-Visakhapatnam,2024-09-16,14.7,Capesize
221,Newcastle-Visakhapatnam,2024-09-23,15.43,Capesize
222,Newcastle-Visakhapatnam,2024-09-30,14.9,Capesize
223,Newcastle-Visakhapatnam,2024-10-07,13.87,Capesize
224,Newcastle-Visakhapatnam,2024-10-14,12.91,Capesize
225,Newcastle-Visakhapatnam,2024-10-21,12.47,Capesize
226,Newcastle-Visakhapatnam,2024-10-28,13.47,Capesize
227,Newcastle-Visakhapatnam,2024-11-04,14.5,Capesize
228,Newcastle-Visakhapatnam,2024-11-11,13.6,Capesize
229,Newcastle-Visakhapatnam,2024-11-18,14.1,Capesize
230,Newcastle-Visakhapatnam,2024-11-25,14.17,Capesize
231,Newcastle-Visakhapatnam,2024-12-02,13.47,Capesize
232,Newcastle-Visakhapatnam,2024-12-09,13.53,Capesize
233,Newcastle-Visakhapatnam,2024-12-16,12.97,Capesize
234,Newcastle-Visakhapatnam,2024-12-23,13.25,Capesize
235,Newcastle-Visakhapatnam,2024-12-30,12.53,Capesize
236,Newcastle-Visakhapatnam,2025-01-06,13.09,Capesize
237,Newcastle-Visakhapatnam,2025-01-13,12.9,Capesize
238,Newcastle-Visakhapatnam,2025-01-20,12.02,Capesize
239,Newcastle-Visakhapatnam,2025-01-27,12.33,Capesize
240,Newcastle-Visakhapatnam,2025-02-03,12.01,Capesize
241,Newcastle-Visakhapatnam,2025-02-10,11.92,Capesize
242,Newcastle-Visakhapatnam,2025-02-17,12.29,Capesize
243,Newcastle-Visakhapatnam,2025-02-24,13.14,Capesize
244,Newcastle-Visakhapatnam,2025-03-03,12.4,Capesize
245,Newcastle-Visakhapatnam,2025-03-10,11.68,Capesize
246,Newcastle-Visakhapatnam,2025-03-17,11.46,Capesize
247,Newcastle-Visakhapatnam,2025-03-24,11.1,Capesize
248,Newcastle-Visakhapatnam,2025-03-31,10.33,Capesize
249,Newcastle-Visakhapatnam,2025-04-07,11.45,Capesize
250,Newcastle-Visakhapatnam,2025-04-14,11.32,Capesize
251,Newcastle-Visakhapatnam,2025-04-21,10.99,Capesize
252,Newcastle-Visakhapatnam,2025-04-28,10.58,Capesize
253,Newcastle-Visakhapatnam,2025-05-05,11.68,Capesize
254,Newcastle-Visakhapatnam,2025-05-12,11.28,Capesize
255,Newcastle-Visakhapatnam,2025-05-19,11.0,Capesize
256,Newcastle-Visakhapatnam,2025-05-26,11.59,Capesize
257,Newcastle-Visakhapatnam,2025-06-02,11.43,Capesize
258,Newcastle-Visakhapatnam,2025-06-09,11.94,Capesize
259,Newcastle-Visakhapatnam,2025-06-16,12.18,Capesize
260,Newcastle-Visakhapatnam,2025-06-23,12.32,Capesize
261,Newcastle-Visakhapatnam,2025-06-30,11.68,Capesize
262,Newcastle-Visakhapatnam,2025-07-07,12.28,Capesize
263,Newcastle-Visakhapatnam,2025-07-14,13.23,Capesize
264,Newcastle-Visakhapatnam,2025-07-21,12.68,Capesize
265,Newcastle-Visakhapatnam,2025-07-28,13.72,Capesize
266,Newcastle-Visakhapatnam,2025-08-04,13.6,Capesize
267,Newcastle-Visakhapatnam,2025-08-11,13.37,Capesize
268,Newcastle-Visakhapatnam,2025-08-18,13.87,Capesize
269,Newcastle-Visakhapatnam,2025-08-25,14.96,Capesize
270,Newcastle-Visakhapatnam,2025-09-01,15.17,Capesize
271,Newcastle-Visakhapatnam,2025-09-08,15.21,Capesize
272,Newcastle-Visakhapatnam,2025-09-15,16.32,Capesize
273,Newcastle-Visakhapatnam,2025-09-22,15.87,Capesize
274,Newcastle-Visakhapatnam,2025-09-29,15.42,Capesize
275,Newcastle-Visakhapatnam,2025-10-06,14.8,Capesize
276,Newcastle-Visakhapatnam,2025-10-13,15.6,Capesize
277,Newcastle-Visakhapatnam,2025-10-20,14.53,Capesize
278,Newcastle-Visakhapatnam,2025-10-27,15.25,Capesize
279,Newcastle-Visakhapatnam,2025-11-03,15.67,Capesize
280,Newcastle-Visakhapatnam,2025-11-10,15.17,Capesize
281,Newcastle-Visakhapatnam,2025-11-17,15.29,Capesize
282,Newcastle-Visakhapatnam,2025-11-24,15.42,Capesize
283,Newcastle-Visakhapatnam,2025-12-01,16.37,Capesize
284,Newcastle-Visakhapatnam,2025-12-08,15.6,Capesize
285,Newcastle-Visakhapatnam,2025-12-15,14.56,Capesize
286,Newcastle-Visakhapatnam,2025-12-22,14.24,Capesize
287,Newcastle-Visakhapatnam,2025-12-29,13.43,Capesize
288,Newcastle-Visakhapatnam,2026-01-05,13.13,Capesize
289,Newcastle-Visakhapatnam,2026-01-12,13.32,Capesize
290,Newcastle-Visakhapatnam,2026-01-19,12.72,Capesize
291,Newcastle-Visakhapatnam,2026-01-26,13.41,Capesize
292,Newcastle-Visakhapatnam,2026-02-02,12.5,Capesize
293,Newcastle-Visakhapatnam,2026-02-09,12.28,Capesize
294,Newcastle-Visakhapatnam,2026-02-16,13.21,Capesize
295,Newcastle-Visakhapatnam,2026-02-23,13.74,Capesize
296,Newcastle-Visakhapatnam,2026-03-02,14.24,Capesize
297,Newcastle-Visakhapatnam,2026-03-09,14.89,Capesize
298,Newcastle-Visakhapatnam,2026-03-16,14.16,Capesize
299,Newcastle-Visakhapatnam,2026-03-23,14.89,Capesize
300,Newcastle-Visakhapatnam,2026-03-30,15.31,Capesize
301,Newcastle-Visakhapatnam,2026-04-06,15.49,Capesize
302,Newcastle-Visakhapatnam,2026-04-13,16.4,Capesize
303,Newcastle-Visakhapatnam,2026-04-20,16.61,Capesize
304,Newcastle-Visakhapatnam,2026-04-27,16.16,Capesize
305,Newcastle-Visakhapatnam,2026-05-04,16.68,Capesize
306,Newcastle-Visakhapatnam,2026-05-11,16.85,Capesize
307,Newcastle-Visakhapatnam,2026-05-18,15.91,Capesize
308,Newcastle-Visakhapatnam,2026-05-25,14.91,Capesize
309,Newcastle-Visakhapatnam,2026-06-01,15.52,Capesize
310,Newcastle-Visakhapatnam,2026-06-08,15.18,Capesize
311,Newcastle-Visakhapatnam,2026-06-15,15.89,Capesize
312,Newcastle-Visakhapatnam,2026-06-22,15.7,Capesize
313,Newcastle-Visakhapatnam,2026-06-29,16.53,Capesize
314,Newcastle-Visakhapatnam,2026-07-06,17.36,Capesize
315,Newcastle-Visakhapatnam,2026-07-13,16.74,Capesize
316,New Orleans-Qingdao,2024-07-15,25.61,Panamax
317,New Orleans-Qingdao,2024-07-22,26.02,Panamax
318,New Orleans-Qingdao,2024-07-29,24.07,Panamax
319,New Orleans-Qingdao,2024-08-05,25.18,Panamax
320,New Orleans-Qingdao,2024-08-12,24.71,Panamax
321,New Orleans-Qingdao,2024-08-19,23.92,Panamax
322,New Orleans-Qingdao,2024-08-26,22.09,Panamax
323,New Orleans-Qingdao,2024-09-02,22.25,Panamax
324,New Orleans-Qingdao,2024-09-09,20.85,Panamax
325,New Orleans-Qingdao,2024-09-16,20.86,Panamax
326,New Orleans-Qingdao,2024-09-23,19.74,Panamax
327,New Orleans-Qingdao,2024-09-30,17.94,Panamax
328,New Orleans-Qingdao,2024-10-07,18.87,Panamax
329,New Orleans-Qingdao,2024-10-14,18.44,Panamax
330,New Orleans-Qingdao,2024-10-21,18.22,Panamax
331,New Orleans-Qingdao,2024-10-28,18.6,Panamax
332,New Orleans-Qingdao,2024-11-04,18.62,Panamax
333,New Orleans-Qingdao,2024-11-11,17.51,Panamax
334,New Orleans-Qingdao,2024-11-18,16.67,Panamax
335,New Orleans-Qingdao,2024-11-25,16.25,Panamax
336,New Orleans-Qingdao,2024-12-02,14.78,Panamax
337,New Orleans-Qingdao,2024-12-09,13.11,Panamax
338,New Orleans-Qingdao,2024-12-16,13.39,Panamax
339,New Orleans-Qingdao,2024-12-23,12.6,Panamax
340,New Orleans-Qingdao,2024-12-30,12.6,Panamax
341,New Orleans-Qingdao,2025-01-06,12.6,Panamax
342,New Orleans-Qingdao,2025-01-13,12.61,Panamax
343,New Orleans-Qingdao,2025-01-20,13.7,Panamax
344,New Orleans-Qingdao,2025-01-27,12.6,Panamax
345,New Orleans-Qingdao,2025-02-03,12.6,Panamax
346,New Orleans-Qingdao,2025-02-10,12.84,Panamax
347,New Orleans-Qingdao,2025-02-17,12.79,Panamax
348,New Orleans-Qingdao,2025-02-24,13.4,Panamax
349,New Orleans-Qingdao,2025-03-03,12.6,Panamax
350,New Orleans-Qingdao,2025-03-10,13.06,Panamax
351,New Orleans-Qingdao,2025-03-17,14.01,Panamax
352,New Orleans-Qingdao,2025-03-24,12.99,Panamax
353,New Orleans-Qingdao,2025-03-31,12.6,Panamax
354,New Orleans-Qingdao,2025-04-07,13.71,Panamax
355,New Orleans-Qingdao,2025-04-14,13.0,Panamax
356,New Orleans-Qingdao,2025-04-21,14.7,Panamax
357,New Orleans-Qingdao,2025-04-28,13.06,Panamax
358,New Orleans-Qingdao,2025-05-05,13.74,Panamax
359,New Orleans-Qingdao,2025-05-12,13.44,Panamax
360,New Orleans-Qingdao,2025-05-19,12.83,Panamax
361,New Orleans-Qingdao,2025-05-26,12.6,Panamax
362,New Orleans-Qingdao,2025-06-02,12.98,Panamax
363,New Orleans-Qingdao,2025-06-09,12.6,Panamax
364,New Orleans-Qingdao,2025-06-16,12.6,Panamax
365,New Orleans-Qingdao,2025-06-23,14.55,Panamax
366,New Orleans-Qingdao,2025-06-30,15.02,Panamax
367,New Orleans-Qingdao,2025-07-07,16.98,Panamax
368,New Orleans-Qingdao,2025-07-14,16.74,Panamax
369,New Orleans-Qingdao,2025-07-21,15.33,Panamax
370,New Orleans-Qingdao,2025-07-28,13.51,Panamax
371,New Orleans-Qingdao,2025-08-04,14.78,Panamax
372,New Orleans-Qingdao,2025-08-11,13.58,Panamax
373,New Orleans-Qingdao,2025-08-18,13.07,Panamax
374,New Orleans-Qingdao,2025-08-25,14.11,Panamax
375,New Orleans-Qingdao,2025-09-01,15.52,Panamax
376,New Orleans-Qingdao,2025-09-08,13.97,Panamax
377,New Orleans-Qingdao,2025-09-15,12.6,Panamax
378,New Orleans-Qingdao,2025-09-22,14.4,Panamax
379,New Orleans-Qingdao,2025-09-29,16.1,Panamax
380,New Orleans-Qingdao,2025-10-06,17.58,Panamax
381,New Orleans-Qingdao,2025-10-13,18.86,Panamax
382,New Orleans-Qingdao,2025-10-20,16.91,Panamax
383,New Orleans-Qingdao,2025-10-27,17.69,Panamax
384,New Orleans-Qingdao,2025-11-03,16.13,Panamax
385,New Orleans-Qingdao,2025-11-10,15.93,Panamax
386,New Orleans-Qingdao,2025-11-17,14.02,Panamax
387,New Orleans-Qingdao,2025-11-24,12.86,Panamax
388,New Orleans-Qingdao,2025-12-01,13.01,Panamax
389,New Orleans-Qingdao,2025-12-08,12.6,Panamax
390,New Orleans-Qingdao,2025-12-15,12.69,Panamax
391,New Orleans-Qingdao,2025-12-22,12.6,Panamax
392,New Orleans-Qingdao,2025-12-29,12.6,Panamax
393,New Orleans-Qingdao,2026-01-05,13.52,Panamax
394,New Orleans-Qingdao,2026-01-12,12.6,Panamax
395,New Orleans-Qingdao,2026-01-19,13.4,Panamax
396,New Orleans-Qingdao,2026-01-26,12.6,Panamax
397,New Orleans-Qingdao,2026-02-02,12.93,Panamax
398,New Orleans-Qingdao,2026-02-09,13.59,Panamax
399,New Orleans-Qingdao,2026-02-16,12.6,Panamax
400,New Orleans-Qingdao,2026-02-23,12.6,Panamax
401,New Orleans-Qingdao,2026-03-02,12.6,Panamax
402,New Orleans-Qingdao,2026-03-09,13.76,Panamax
403,New Orleans-Qingdao,2026-03-16,14.23,Panamax
404,New Orleans-Qingdao,2026-03-23,12.6,Panamax
405,New Orleans-Qingdao,2026-03-30,13.22,Panamax
406,New Orleans-Qingdao,2026-04-06,12.6,Panamax
407,New Orleans-Qingdao,2026-04-13,12.6,Panamax
408,New Orleans-Qingdao,2026-04-20,12.6,Panamax
409,New Orleans-Qingdao,2026-04-27,14.01,Panamax
410,New Orleans-Qingdao,2026-05-04,14.65,Panamax
411,New Orleans-Qingdao,2026-05-11,16.11,Panamax
412,New Orleans-Qingdao,2026-05-18,14.18,Panamax
413,New Orleans-Qingdao,2026-05-25,15.65,Panamax
414,New Orleans-Qingdao,2026-06-01,16.25,Panamax
415,New Orleans-Qingdao,2026-06-08,15.17,Panamax
416,New Orleans-Qingdao,2026-06-15,14.7,Panamax
417,New Orleans-Qingdao,2026-06-22,16.6,Panamax
418,New Orleans-Qingdao,2026-06-29,15.0,Panamax
419,New Orleans-Qingdao,2026-07-06,14.26,Panamax
420,New Orleans-Qingdao,2026-07-13,15.73,Panamax
421,Santos-Qingdao,2024-07-15,22.11,Panamax
422,Santos-Qingdao,2024-07-22,21.01,Panamax
423,Santos-Qingdao,2024-07-29,21.01,Panamax
424,Santos-Qingdao,2024-08-05,20.86,Panamax
425,Santos-Qingdao,2024-08-12,22.36,Panamax
426,Santos-Qingdao,2024-08-19,20.68,Panamax
427,Santos-Qingdao,2024-08-26,19.79,Panamax
428,Santos-Qingdao,2024-09-02,19.89,Panamax
429,Santos-Qingdao,2024-09-09,19.31,Panamax
430,Santos-Qingdao,2024-09-16,18.93,Panamax
431,Santos-Qingdao,2024-09-23,17.72,Panamax
432,Santos-Qingdao,2024-09-30,17.18,Panamax
433,Santos-Qingdao,2024-10-07,16.66,Panamax
434,Santos-Qingdao,2024-10-14,17.1,Panamax
435,Santos-Qingdao,2024-10-21,16.18,Panamax
436,Santos-Qingdao,2024-10-28,17.86,Panamax
437,Santos-Qingdao,2024-11-04,17.86,Panamax
438,Santos-Qingdao,2024-11-11,18.96,Panamax
439,Santos-Qingdao,2024-11-18,19.4,Panamax
440,Santos-Qingdao,2024-11-25,20.74,Panamax
441,Santos-Qingdao,2024-12-02,22.11,Panamax
442,Santos-Qingdao,2024-12-09,23.22,Panamax
443,Santos-Qingdao,2024-12-16,21.56,Panamax
444,Santos-Qingdao,2024-12-23,21.76,Panamax
445,Santos-Qingdao,2024-12-30,20.98,Panamax
446,Santos-Qingdao,2025-01-06,19.76,Panamax
447,Santos-Qingdao,2025-01-13,21.16,Panamax
448,Santos-Qingdao,2025-01-20,21.71,Panamax
449,Santos-Qingdao,2025-01-27,20.26,Panamax
450,Santos-Qingdao,2025-02-03,19.84,Panamax
451,Santos-Qingdao,2025-02-10,21.46,Panamax
452,Santos-Qingdao,2025-02-17,21.86,Panamax
